recto,verso,archival_object_id,,note: completed rows removed from this tab
ws85b298h,ws85b2756,255576,,
ws859m521,ws859m50g,245123,,
ws859w09d,ws859w105,255112,,
ws859k002,ws859k01b,,,
ws859m742,,245132,,
ws85b624j,ws85b6238,249841,,
ws85b439r,ws85b438g,252948,,
ws85b544t,ws85b543j,248528,,
ws859j51b,ws859j502,255054,,
ws859h26s,ws859k91h,245826,,
ws85bc930,ws85bc92q,,,
ws859h19c,ws859h183,252864,,
ws859k96w,,249333,,
ws859k43v,ws859k419,248486,,
ws859v46b,ws859v47m,249418,,
ws85b445w,ws85b4308,,,
ws859s36p,ws859s37z,252933,,
ws859t34b,ws859t35m,248720,,
ws85bb84t,ws85bb83j,,,
ws85b798j,ws85b7978,,,
ws859p540,ws859p558,249408,,
ws859n76t,,245311,,
ws859w89b,ws859w903,255118,,
ws85bb37f,ws85bb365,,,
ws859j28j,ws859j278,254297,,
ws859p159,ws859p141,245834,,
ws859h75q,ws859h74f,248493,,
ws859t286,ws859t29g,248717,,
ws85b9644,ws85b963v,,,
ws85b8079,ws85b8061,,,
ws859n552,ws859n54s,249395,,
ws859p914,ws859p92d,251461,,
ws85b443b,ws85b4422,252944,,
ws85b3701,ws85b1326,254357,,
ws859x19v,ws859x20m,250543,,
ws859n85s,,245317,,
ws859t820,ws859t838,248060,,
ws859m386,,247886,,
ws859q02f,ws859q03q,251466,,
ws859j59j,ws859j570,245116,,
ws859t528,ws859t53j,245357,,
ws85b258j,ws85b2578,255121,,
ws859w369,ws859w37k,255190,,
ws859v04t,ws859v07n,248061,,
ws859p672,,249412,,
ws859g71d,ws859g704,249320,,
ws85b600z,ws85b599d,243704,,
ws859t32s,ws859t332,248719,,
ws859v940,,255105,,
ws85b500r,ws85b4996,254393,,
ws85b4910,ws85b490q,,,
ws85bc28p,ws85bc27d,,,
ws859w148,ws859w15j,255114,,
ws859m58p,,245127,,
ws859h96g,ws859h94x,252880,,
ws859k14d,ws859k134,254317,,
ws859f95s,ws859f937,252871,,
ws859r178,ws859r15q,255570,,
ws859v06c,ws859v053,248062,,
ws859t75k,ws859t76v,248058,,
ws85b9997,ws85b987f,,,
ws85b121p,ws85b120d,245371,,
