id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
ws85b605b,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b236_B00408_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85136296,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85121770,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,"View from north of Portland Hotel, from top of building under construction. (verso)",open,
df7201952,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b090_S00244,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85074392,http://id.loc.gov/authorities/subjects/sh85026130,http://id.loc.gov/authorities/subjects/sh99004834,http://id.loc.gov/authorities/subjects/sh85090277,http://id.loc.gov/authorities/subjects/sh95008818,http://id.loc.gov/authorities/subjects/sh85028740,,,PH037_b090_S00244 Angelus Studio Photographs,open,
ws859x268,Image,ws859x27j,254347,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b233_SH00082_print_copy2,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/NoC-US/1.0/,http://creativecommons.org/publicdomain/mark/1.0/,,,,,http://id.loc.gov/authorities/subjects/sh85145756,http://id.loc.gov/authorities/subjects/sh85090254,http://id.loc.gov/authorities/subjects/sh85135386,http://id.loc.gov/authorities/subjects/sh85078084,http://id.loc.gov/authorities/subjects/sh85135388,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85058838,http://id.loc.gov/authorities/subjects/sh85082013,,PH037_b233_SH00082_print_copy2 (recto),open,
kp78h406v,Image,kp78h405k,254085,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b214_73140_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85145303,http://id.loc.gov/authorities/names/n2004072413,,,,,,,,PH037_b214_73140_print (recto),open,
df7200301,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b083_S00052,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2005020013,http://id.loc.gov/authorities/subjects/sh85123771,http://id.loc.gov/authorities/subjects/sh85055066,http://id.loc.gov/authorities/subjects/sh85087823,http://id.loc.gov/authorities/subjects/sh85063965,http://id.loc.gov/authorities/subjects/sh85061891,http://id.loc.gov/authorities/subjects/sh85090277,,,PH037_b083_S00052 Angelus Studio Photographs,open,
ws859g07c,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b223_S01195_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh89006990,http://id.loc.gov/authorities/subjects/sh85114487,http://id.loc.gov/authorities/subjects/sh87003234,,,,,,PH037_b223_S01195 (verso),open,
jm215b06q,Image,jm215b05f,254991,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b219_26261_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85078097,,,,,,,,PH037_b219_26261_print (recto),open,
ws85bc82g,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b239_045r_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85056412,http://id.loc.gov/authorities/subjects/sh85009151,http://id.loc.gov/authorities/subjects/sh86002435,,,,,,,PH037_b239_045r (verso),open,
df71fv08s,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b024_B00456,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85122320,http://id.loc.gov/authorities/subjects/sh85118328,http://id.loc.gov/authorities/subjects/sh85118278,http://id.loc.gov/authorities/subjects/sh85118336,,,,,,"Chemawa Indian School building, Chemawa, OR. Sidewalk leading to doorways on front and side. Power pole and wires along sidewalk. Building in background under construction.",open,
ws859n420,Image,,247838,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b225_00128_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85046347,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85046910,http://id.loc.gov/authorities/subjects/sh85046354,,,,,,PH037_b225_00128  (recto),open,
ws85b997p,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b239_076r_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85105203,,,,,,,,PH037_b239_076r (recto),open,
