id,model,children,archival_object_id,date_1,has_finding_aid_1,identifier_1,institution_1,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,local_collection_id_1,location_1,location_2,location_3,photographer_1,photographer_2,repository_1,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
ws859g950,Image,ws859g94q,250531,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b223_MF00141_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85145585,http://id.loc.gov/authorities/subjects/sh85145596,,,,,,,,PH037_b223_MF00141 (recto),open,
df71zs92g,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b062_MF00430,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85041783,http://id.loc.gov/authorities/subjects/sh85063965,http://id.loc.gov/authorities/subjects/sh85123771,http://id.loc.gov/authorities/subjects/sh85042050,http://id.loc.gov/authorities/subjects/sh85041594,http://id.loc.gov/authorities/subjects/sh85041793,,,,Ice-laden wires.,open,
ws859g22g,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b223_BR00029_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85016829,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85114487,,,,,,,PH037_b223_BR00029 (verso),open,
df738t500,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b204_40678,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/11902919/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85138148,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85036583,http://id.loc.gov/authorities/subjects/sh85128357,http://id.loc.gov/authorities/names/n85052420,,,,,PH037_b204_40678,open,
df71fs757,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b019_B00123,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5751749/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85096476,http://id.loc.gov/authorities/subjects/sh87002620,http://id.loc.gov/authorities/subjects/sh87003234,http://id.loc.gov/authorities/subjects/sh85096464,http://id.loc.gov/authorities/subjects/sh85129476,http://id.loc.gov/authorities/subjects/sh85119371,http://id.loc.gov/authorities/subjects/sh85145789,,,"Distant view of large house on cliff, Shore Acres, OR. Ocean and rock formations in foreground.",open,
ws85b294d,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b234_B00504_print_copy1_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85101228,http://id.loc.gov/authorities/names/n84181232,http://id.loc.gov/authorities/subjects/sh85011609,http://id.loc.gov/authorities/subjects/sh2007007134,,,,,,PH037_b234_B00504_print_copy1 (verso),open,
ws859j499,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b224_06188_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2003004821,http://id.loc.gov/authorities/subjects/sh88006125,http://id.loc.gov/authorities/subjects/sh85015159,,,,,,,Sea-going log raft (recto),open,
df734v49r,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b145_Z01789,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85078097,http://id.loc.gov/authorities/subjects/sh85078804,http://id.loc.gov/authorities/subjects/sh85135386,http://id.loc.gov/authorities/subjects/sh85026905,http://id.loc.gov/authorities/subjects/sh85078814,,,,,PH037_b145_Z01789 Angelus Studio Photographs,open,
ws859q172,Image,ws859q06j,249401,1928/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b231_04318_print,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,https://sws.geonames.org/5746545/,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85048486,http://id.loc.gov/authorities/subjects/sh85048556,http://id.loc.gov/authorities/subjects/sh85127208,http://id.loc.gov/authorities/subjects/sh85145756,http://id.loc.gov/authorities/subjects/sh99004834,,,,,PH037_b231_04318_print (recto),open,
j3860p53k,Image,,,1880/1949,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b216_00150_print_v,http://id.loc.gov/authorities/names/n80126183,,,,,,,PH037,,,,http://opaquenamespace.org/ns/creator/AngelusStudio,,http://id.loc.gov/authorities/names/no2003116678,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85083510,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85096294,,,,,,,PH037_b216_00150_print (verso),open,
