id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
df734v55w,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b145_T05205,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85078814,http://id.loc.gov/authorities/subjects/sh85078096,http://id.loc.gov/authorities/subjects/sh85135386,http://id.loc.gov/authorities/subjects/sh85078804,,,,,PH037_b145_T05205 Angelus Studio Photographs,open,
jm215750n,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b218_12777_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114487,http://id.loc.gov/authorities/subjects/sh85087823,http://id.loc.gov/authorities/subjects/sh85093871,,,,,,,Roosevelt Highway, Elephants Head and Humbug Mountain (verso),open
jm214s78g,Image,jm214s776,244902,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b217_06987_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85097741,http://id.loc.gov/authorities/subjects/sh85049144,http://id.loc.gov/authorities/subjects/sh85100163,,,,,,,PH037_b217_06987_print (recto),open,
ws85b408r,Image,ws85b2250,249427,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b234_H00145_print_copy3,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/NoC-US/1.0/,http://creativecommons.org/publicdomain/mark/1.0/,,,,,http://id.loc.gov/authorities/subjects/sh85147274,http://id.loc.gov/authorities/subjects/sh85023418,http://id.loc.gov/authorities/subjects/sh2002004206,http://id.loc.gov/authorities/subjects/sh85105203,,,,,,"First Stage coach, 1900, at Bingham Springs. Woman and children seated in and around coach. [PH037_b234_H00145_print_copy3] (recto)",open,
df71fv75n,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b027_B00531,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017709,http://id.loc.gov/authorities/subjects/sh85118451,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85118278,http://id.loc.gov/authorities/subjects/sh85060735,http://id.loc.gov/authorities/subjects/sh85028763,,,,"Corner view of Lincoln High School, Portland, showing colonnades.",open,
kp78gp63m,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b200_47803,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85035459,http://id.loc.gov/authorities/subjects/sh85035460,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,PH037_b200_47803,open,
k3569b84s,Image,k3569b83h,247746,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_28020_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85010201,,,,,,,,Wilcan Home -Tualatin Valley. (recto),open,
df738q935,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b210_12249_nitrate,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/NoC-US/1.0/,http://creativecommons.org/publicdomain/mark/1.0/,,,,,http://id.loc.gov/authorities/subjects/sh85121557,http://id.loc.gov/authorities/subjects/sh85017740,http://id.loc.gov/authorities/names/no2009011626,http://id.loc.gov/authorities/subjects/sh85121668,,,,,,"For US Shipping Board, E.F.C. Northwest Steel Co. Hull No. 16 Stern View.",open,
bv73c887m,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b221_Z00100_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85127265,,,,,,,,,Interior view of a house (verso),open,
j3860q16n,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b216_Z01533_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85007461,,,,,,,,New York State Building. (verso),open,
df71fs51n,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b018_B00099,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85136289,http://id.loc.gov/authorities/subjects/sh85122320,http://id.loc.gov/authorities/subjects/sh85026255,http://id.loc.gov/authorities/subjects/sh85026130,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85010201,,,,"Alder St., Portland, looking west from 6th. Oregonian Building on corner.",open,
df71zv72d,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b069_MF00579,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85046823,http://id.loc.gov/authorities/subjects/sh85065835,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85085422,,,,,,PH037_b069_MF00579 Angelus Studio Photographs,open,
n870zx97f,Image,n870zx965,247950,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b227_B01188_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85040193,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85005908,,,,,,,PH037_b227_B01188_print (recto),open,
kp78h459w,Image,kp78h458m,247565,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b214_B01497_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85017693,http://id.loc.gov/authorities/subjects/sh85117898,,,,,,,Celiopa Apt  (recto),open,
df7201243,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b087_S00160,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85090277,http://id.loc.gov/authorities/subjects/sh85114749,http://id.loc.gov/authorities/subjects/sh91004651,,,,,PH037_b087_S00160 Angelus Studio Photographs,open,
k3569b720,Image,k3569b71q,248470,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b220_25484_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85010201,http://id.loc.gov/authorities/subjects/sh85062487,,,,,,,PH037_b220_25484_print (recto),open,
df737d250,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b163_Z00633,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85047932,http://id.loc.gov/authorities/subjects/sh85147274,http://id.loc.gov/authorities/subjects/sh97005993,http://id.loc.gov/authorities/subjects/sh93005448,,,,,,PH037_b163_Z00633,open,
df737981q,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b169_65240_copy1,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85098714,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh89002541,,,,,,,PH037_b169_65240_copy1,open,
df72cn977,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b136_MF00022,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh00006584,http://id.loc.gov/authorities/subjects/sh00007532,http://id.loc.gov/authorities/subjects/sh00007535,,,,,,,PH037_b136_MF00022 Angelus Studio Photographs,open,
ws85bg645,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b211_68665_nitrate_copy2,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/names/n82215451,http://id.loc.gov/authorities/subjects/sh85049144,,,,,,,,PH037_b211_68665_nitrate_copy2,open,
df71zz411,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b080_R00075,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85110904,http://id.loc.gov/authorities/subjects/sh85111077,http://id.loc.gov/authorities/subjects/sh95009086,,,,,,,PH037_b080_R00075 Angelus Studio Photographs,open,
df738d04d,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b189_Z01056,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85040193,http://id.loc.gov/authorities/subjects/sh85074398,http://id.loc.gov/authorities/subjects/sh85075339,,,,,,,PH037_b189_Z01056,open,
df734t534,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b144_H00547,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85101610,http://id.loc.gov/authorities/subjects/sh85130766,http://id.loc.gov/authorities/subjects/sh85130799,http://id.loc.gov/authorities/subjects/sh85062285,http://id.loc.gov/authorities/subjects/sh85095018,,,,,"St. Vincent's Hospital, first operation. Dr. Kenneth McKenzie. May be first operation after gas lights. Finest surgery on coast.",open,
